Timestamp,ARDR,BTC,IOTA,LSK,TOTAL
1511281988,0.268163,8289.64,0.932296,9.92669,245354188963.0
1511282109,0.269209,8301.38,0.929856,9.9187,245444539176.0
1511282230,0.269209,8301.38,0.929856,9.9187,245444539176.0
1511282351,0.269209,8301.38,0.929856,9.9187,245434203162.0
1511282472,0.267587,8290.7,0.935607,9.95411,245355481115.0
1511282593,0.267587,8290.7,0.935607,9.95411,245355481115.0
1511282714,0.267042,8305.03,0.938264,9.94124,245474061921.0
1511282835,0.267042,8305.03,0.938264,9.94124,245500939106.0
1511282955,0.267042,8262.18,0.938264,9.94454,245500939106.0
1511283077,0.26645,8262.18,0.935154,9.94454,244610847840.0
1511283199,0.26645,8262.18,0.935154,9.94454,244610847840.0
1511283319,0.265092,8247.49,0.929236,9.86901,243965231351.0
1511283440,0.265092,8247.49,0.929236,9.86901,243965231351.0
1511283561,0.266923,8247.49,0.929236,9.85995,243966300176.0
1511283682,0.266923,8249.02,0.924793,9.85995,244019600511.0
1511283803,0.266923,8249.02,0.924793,9.85995,244019600511.0
1511283924,0.267095,8274.25,0.922689,9.88296,244534854904.0
1511284045,0.267095,8274.25,0.922689,9.88296,244534854904.0
1511284166,0.267011,8271.85,0.922689,9.88623,244596347293.0
1511284287,0.267011,8271.85,0.927368,9.88623,244607134913.0
1511284408,0.267011,8271.85,0.927368,9.88623,244607134913.0
1511284529,0.268253,8284.7,0.921287,9.89259,244826672996.0
1511284650,0.268253,8284.7,0.921287,9.89259,244825867534.0
1511284770,0.267546,8282.28,0.916624,9.87323,244825867534.0
1511284891,0.267546,8282.28,0.916624,9.87323,244747115142.0
1511285012,0.267546,8282.28,0.916624,9.87323,244747115142.0
1511285133,0.268311,8281.89,0.921029,9.86435,244866250517.0
1511285254,0.268311,8281.89,0.921029,9.86435,244866250517.0
1511285375,0.269026,8281.14,0.918061,9.86203,244937923160.0
1511285497,0.269026,8281.14,0.918061,9.86203,244957385513.0
1511285617,0.269026,8281.14,0.918061,9.86203,244957385513.0
1511285738,0.269147,8283.35,0.922132,9.85087,244983531870.0
1511285859,0.269147,8283.35,0.922132,9.85087,244983531870.0
1511285980,0.266267,8278.88,0.912835,9.86758,244983531870.0
1511286101,0.266267,8278.88,0.912835,9.86758,244857343726.0
1511286222,0.266267,8278.88,0.912835,9.86758,244857343726.0
1511286343,0.266631,8285.8,0.912024,9.8492,244981221656.0
1511286464,0.266631,8285.8,0.912024,9.8492,244981221656.0
